


--------------------------------------------------------------------
 Time_to_Death   Inverse K-M Cum. Hazard   Nelson_Aalen Cum. Hazard 
    349               0.0593                     0.0591          

    354               0.0593                     0.0591          

    358                0.065                     0.0648          

    366               0.0708                     0.0706          

    377               0.0765                     0.0763          

    386               0.0824                     0.0822          

    419               0.0882                     0.088           

    432               0.0941                     0.0939          

    439               0.1001                     0.0998          

    452                0.106                     0.1058          

    458               0.1121                     0.1117          

    504               0.1121                     0.1117          

    505               0.1121                     0.1117          

    509               0.1182                     0.1178          

    517               0.1182                     0.1178          

    540               0.1182                     0.1178          

    543               0.1182                     0.1178          

    620               0.1182                     0.1178          

    639               0.1245                     0.1241          

    648               0.1308                     0.1305          

    677               0.1437                     0.1432          

    688               0.1501                     0.1496          

    712               0.1501                     0.1496          

    719               0.1567                     0.1562          

    722               0.1567                     0.1562          

    738               0.1567                     0.1562          

    788               0.1567                     0.1562          

    890               0.1634                     0.1629          

    947               0.1634                     0.1629          

    956               0.1634                     0.1629          

    957               0.1703                     0.1697          

    1018              0.1703                     0.1697          

    1065              0.1773                     0.1767          

    1081              0.1773                     0.1767          

    1157              0.1773                     0.1767          

    1166              0.1844                     0.1838          

    1187              0.1844                     0.1838          

    1198              0.1916                     0.191           

    1199              0.1916                     0.191           

    1247               0.199                     0.1984          

    1258              0.2065                     0.2058          

    1289               0.214                     0.2133          

    1331              0.2215                     0.2208          

    1367              0.2291                     0.2283          

    1372              0.2368                     0.236           

    1393              0.2445                     0.2437          

    1408              0.2445                     0.2437          

    1447              0.2445                     0.2437          

    1496              0.2524                     0.2515          

    1502              0.2524                     0.2515          

    1508              0.2524                     0.2515          

    1514              0.2524                     0.2515          

    1520              0.2524                     0.2515          

    1586              0.2524                     0.2515          

    1612              0.2524                     0.2515          

    1621              0.2524                     0.2515          

    1644              0.2524                     0.2515          

    1654              0.2524                     0.2515          

    1703              0.2524                     0.2515          

    1752              0.2524                     0.2515          

    1765              0.2524                     0.2515          

    1806              0.2524                     0.2515          

    1808              0.2524                     0.2515          

    1814              0.2524                     0.2515          

    1864              0.2614                     0.2606          

    1874              0.2614                     0.2606          

    1884              0.2614                     0.2606          

    1887              0.2614                     0.2606          

    2053              0.2614                     0.2606          

    2063              0.2614                     0.2606          

    2079              0.2614                     0.2606          

    2082              0.2614                     0.2606          

    2138              0.2614                     0.2606          

    2166              0.2614                     0.2606          

    2169              0.2614                     0.2606          

    2171              0.2614                     0.2606          

    2184              0.2614                     0.2606          

    2205              0.2614                     0.2606          

    2222              0.2614                     0.2606          

    2235              0.2614                     0.2606          

    2237              0.2614                     0.2606          

    2247              0.2614                     0.2606          

    2256              0.2614                     0.2606          

    2260              0.2614                     0.2606          

    2262              0.2725                     0.2715          

    2300              0.2725                     0.2715          

    2303              0.2725                     0.2715          

    2324              0.2725                     0.2715          

    2332              0.2725                     0.2715          

    2335              0.2725                     0.2715          

    2354              0.2725                     0.2715          

    2365              0.2725                     0.2715          

    2379              0.2725                     0.2715          

    2380              0.2725                     0.2715          

    2389              0.2725                     0.2715          

    2390              0.2725                     0.2715          

    2405              0.2725                     0.2715          

    2407              0.2725                     0.2715          

    2415              0.2725                     0.2715          

    2436              0.2725                     0.2715          

    2445              0.2725                     0.2715          

    2454              0.2725                     0.2715          

    2463              0.2725                     0.2715          

    2489              0.2725                     0.2715          

    2493              0.2725                     0.2715          

    2499              0.2725                     0.2715          

    2500              0.2871                     0.286           

    2503              0.2871                     0.286           

    2529              0.2871                     0.286           

    2541              0.2871                     0.286           

    2544              0.2871                     0.286           

    2556              0.2871                     0.286           

    2637              0.2871                     0.286           

    2644              0.2871                     0.286           

    2646              0.2871                     0.286           

    2663              0.2871                     0.286           

    2666              0.2871                     0.286           

    2672              0.2871                     0.286           

    2675              0.2871                     0.286           

    2688              0.2871                     0.286           

    2695              0.2871                     0.286           

    2709              0.2871                     0.286           

    2712              0.2871                     0.286           

    2713              0.2871                     0.286           

    2715              0.2871                     0.286           

    2726              0.2871                     0.286           

    2745              0.2871                     0.286           

    2748              0.2871                     0.286           

    2772              0.2871                     0.286           

    2819              0.2871                     0.286           

    2841              0.2871                     0.286           

    2869              0.2871                     0.286           

    2872              0.2871                     0.286           

    2899              0.2871                     0.286           

    2913              0.2871                     0.286           

    2918              0.2871                     0.286           

    2919              0.2871                     0.286           

    2920              0.2871                     0.286           

    2939              0.2871                     0.286           

    2942              0.2871                     0.286           

    2947              0.2871                     0.286           

    2962              0.2871                     0.286           

    2998              0.2871                     0.286           

    3010              0.2871                     0.286           

    3164              0.2871                     0.286           

    3226              0.2871                     0.286           

    3228              0.2871                     0.286           

    3235              0.2871                     0.286           

    3250              0.2871                     0.286           

    3293              0.2871                     0.286           

    3311              0.2871                     0.286           

    3316              0.2871                     0.286           

    3320              0.2871                     0.286           

    3350              0.2871                     0.286           

    3390              0.2871                     0.286           

    3439              0.2871                     0.286           

    3485              0.2871                     0.286           

    3488              0.2871                     0.286           

    3490              0.2871                     0.286           

    3493              0.2871                     0.286           

    3537              0.2871                     0.286           

    3539              0.2871                     0.286           

    3587              0.2871                     0.286           

    3635              0.3925                     0.386           

    3687              0.3925                     0.386           

    3814              0.3925                     0.386           

    3853              0.3925                     0.386           

    3928              0.3925                     0.386           

    4030              0.3925                     0.386           

    4262              0.3925                     0.386           

    4289              0.3925                     0.386           

    5243              0.3925                     0.386           

    5413              0.3925                     0.386           

    5413              0.3925                     0.386           
-----------------------------------------------------------------


